subject-English	題目-Chinese	Answer-English	答案-Chinese	構面
There is a dedicated digital marketing budget.	公司具備數位化行銷專用預算。	Yes/True、No/False	是、否	數位化行銷
There is a dedicated digital marketing strategy.	公司具備數位化行銷專屬策略。	Yes/True、No/False	是、否	數位化行銷
There is a dedicated digital marketing team.	公司具備數位化行銷專門團隊。	Yes/True、No/False	是、否	數位化行銷
There is a defined social media strategy in place which is aligned to the company business plan, with relevant and engaging content.	具有與公司計畫一致，目標明確、引人入勝的社群媒體策略。	Yes/True、No/False	是、否	客戶滿意度/回饋
There is an up-to-date social media policy/guidelines in place.	具有最新的社群媒體政策/指南。	Yes/True、No/False	是、否	客戶滿意度/回饋
Social media channels are open to employees across the business in order to enforce a social media culture.	為了增強社群媒體文化，將社群媒體管道開放給員工使用。	Yes/True、No/False	是、否	客戶滿意度/回饋
There is buy-in from company leadership who are the change drivers for the use of social media.	公司領導人接受社群媒體的使用並帶頭引領其變革。	Yes/True、No/False	是、否	客戶滿意度/回饋
There are social media listening/monitoring tools in place which monitor the business's reputation.	公司具有能監控企業聲譽的社群媒體傾聽/監控工具。	Yes/True、No/False	是、否	客戶滿意度/回饋
Emergency/crisis response is understood and integrated into social listening.	緊急/危機時的回應能被理解、整合進社群傾聽工具。	Yes/True、No/False	是、否	客戶滿意度/回饋
Social listening is structured so that conversations are evaluated and analysed in a systematic way.	建構社群傾聽工具以評估談話內容並系統性分析。	Yes/True、No/False	是、否	客戶滿意度/回饋
Web analytics tools support both web and social media analytics but are not integrated to provide a single view.	網路分析工具能支援網站與社群媒體分析，但不能被整合成單一觀點。	Yes/True、No/False	是、否	客戶滿意度/回饋
Social media enables the promotion of the business's products and services through targeted advertising.	社群媒體透過精準行銷推廣產品與服務。	Yes/True、No/False	是、否	客戶滿意度/回饋
Social media enables the purchase of the business's products and services.	社群媒體增進產品與服務的購買量。	Yes/True、No/False	是、否	客戶滿意度/回饋
Social media is used to provide customer service in order to improve customer loyalty.	使用社群媒體提供服務以增進消費者忠誠度。	Yes/True、No/False	是、否	客戶滿意度/回饋
The social media tone of voice is fully integrated with the rest of the business's communication channels.	社群媒體的發展基調與其他的溝通管道完全整合。	Yes/True、No/False	是、否	客戶滿意度/回饋
There are social media security procedures in place to prevent hacking.	公司具有社群媒體防護程序以避免駭客入侵。	Yes/True、No/False	是、否	客戶滿意度/回饋
There is a social media training programme for employees.	公司有為員工設計社群媒體培訓計畫。	Yes/True、No/False	是、否	客戶滿意度/回饋
Social media is looked at on an ad-hoc basis.	公司將社群媒體經營視為特別業務看待。	Yes/True、No/False	是、否	客戶滿意度/回饋
Feedback via digital channels is requested on products, services and customer experience at key points of interaction.	透過數位化通路收集產品、服務與消費者體驗的意見回饋是互動的關鍵。	Yes/True、No/False	是、否	客戶滿意度/回饋
A customer has the ability to raise and resolve a complaint through any digital channel.	消費者可透過任何的數位化管道投訴並得到解決。	Yes/True、No/False	是、否	客戶滿意度/回饋
A customer has the ability to raise and resolve a query through any digital channel.	消費者可透過任何的數位化管道提出問題並得到解決。	Yes/True、No/False	是、否	客戶滿意度/回饋
The organisation uses crowdsourcing tools and techniques to gain customer feedback on products and services.	公司運用網路集體創作的工具得到消費者對產品與服務的意見回饋。	Yes/True、No/False	是、否	客戶滿意度/回饋
The organisation responds to online complaints and queries by post only.	公司只用張貼文章的方式回應網路上的抱怨與問題。	Yes/True、No/False	是、否	客戶滿意度/回饋
Online feedback is routed into a continuous improvement programme and actioned.	線上意見回饋是一個付諸行動、持續改良的計畫。	Yes/True、No/False	是、否	客戶滿意度/回饋
Customers have the ability to interact and collaborate through online communities to drive feedback for improvement.	消費者能透過線上社群互動與合作，提供如何改進的意見。	Yes/True、No/False	是、否	客戶滿意度/回饋
The organisation monitors social media sites to capture customer feedback and ideas.	公司透過社群媒體擷取消費者意見回饋與想法。	Yes/True、No/False	是、否	客戶滿意度/回饋
Customers have the ability to track the progress of a complaint or query online.	消費者能追蹤線上客訴與詢問的處理流程。	Yes/True、No/False	是、否	客戶滿意度/回饋
Customers have the ability to track the progress of a query using mobile channels.	消費者能使用行動通路追蹤問題處理流程。	Yes/True、No/False	是、否	客戶滿意度/回饋
The organisation proactively follows up with customers to assess satisfaction.	公司積極維持客戶的後續連繫以評估顧客滿意度。	Yes/True、No/False	是、否	客戶滿意度/回饋
"The organisation uses ""live chat"" technology to support customers when using digital channels."	公司提供消費者線上聊天的功能。	Yes/True、No/False	是、否	客戶滿意度/回饋
The customer has the ability to contact the product or service provider about any product held to ask a query or make a complaint.	消費者能聯絡上產品或服務的提供者，對其發問或是投訴。	Yes/True、No/False	是、否	客戶滿意度/回饋
The ability to personalise your content is fundamental to your digital strategy.	消費者能將網頁內容個人化。	Yes/True、No/False	是、否	個人化
Personalised web content is targeted in the right context in real time.	個人化網頁內容有對的情境和即時性。	Yes/True、No/False	是、否	個人化
The performance of personalised content is tested monitored and measured.	個人化內容的成效將被測試、監控與衡量。	Yes/True、No/False	是、否	個人化
Your website experience is personalised for individual visitors.	公司對於每個訪客皆提供客製化的網站瀏覽體驗。	Yes/True、No/False	是、否	個人化
Data from CRM systems or data warehouses is used to create personalised web experiences.	公司使用CRM系統或數據倉庫的數據資料，設計個人化的網路體驗。	Yes/True、No/False	是、否	個人化
The improvement in conversion rates resulting from online personalisation can be quantified.	公司能量化因個人化內容而提昇的交易轉換率。	Yes/True、No/False	是、否	個人化
Personalised experiences are only delivered through desktop.	消費者只能透過桌上型電腦享受個人化的網路體驗。	Yes/True、No/False	是、否	個人化
Effectiveness of personalisation is tested using A/B or multivariant testing.	公司使用比較（A/B testing）或多元試驗測試個人化服務的成效。	Yes/True、No/False	是、否	個人化
